group_id,n_nodes,n_edges,density,n_connected_components,mean_degree,average_clustering,n_edges_gene_overlap,n_edges_pubmed_costudy,n_edges_shared_mesh_term,n_edges_shared_pathway,n_edges_shared_disease,n_edges_shared_go_bp
A0,464,326401,0.9992831607954122,1,462.6681034482759,0.9992995687389254,235,600,62007,106487,81681,75391
A1,499,315766,0.9961449002422516,1,496.08016032064126,0.9968159877788004,290,663,73646,123216,62914,55037
A2,410,102281,0.827204961536168,1,338.32682926829267,0.9083892219127531,3214,339,33462,54950,4778,5538
A3,423,274830,0.9994285906356088,1,421.7588652482269,0.9994618519711373,212,333,43426,88525,72439,69895
A4,344,166495,0.999677944267408,1,342.88953488372096,0.9996790509780872,159,322,29787,58833,40566,36828
A5,407,209609,0.9879570569225742,1,401.1105651105651,0.9895233773442784,341,632,41130,80828,45775,40903
A6,498,308389,0.9959920163551591,1,495.00803212851406,0.9964838999539599,296,509,60222,121462,68677,57223
A7,474,219614,0.9728726773177759,1,460.168776371308,0.9796019850756793,247,560,61362,103776,27028,26641
A8,261,78685,0.982640730916593,1,255.48659003831418,0.9903228022878999,741,213,19536,32560,24469,1166
A9,518,410390,0.9989694032247224,1,516.4671814671815,0.9990355672561323,352,1055,74452,132753,101690,100088
B0,514,363715,0.9996738495612139,1,512.8326848249027,0.999677071185328,224,390,68019,131545,85118,78419
B1,274,75298,0.9966311061201573,1,272.08029197080293,0.9971784584536797,48,316,20124,37134,17028,648
B2,493,341851,0.9988951005128712,1,491.45638945233264,0.9990167674805835,691,2177,58844,120273,83523,76343
B3,818,965072,0.9995570891178592,1,816.6381418092909,0.9995609102784134,365,1138,181656,333054,229868,218991
B4,408,147516,0.9649395384689502,1,392.73039215686276,0.9725326773746693,201,1194,49469,72901,12895,10856
B5,440,215205,0.9995754814661421,1,438.81363636363636,0.9995795501398452,191,518,53563,96379,32386,32168
B6,207,25646,0.8461610618638901,3,174.30917874396135,0.9400561829159308,625,109,6377,16057,1457,1021
B7,768,928479,0.9998607942199044,1,766.8932291666666,0.9998611396504935,381,1433,157021,293610,246239,229795
B8,35,622,0.7109243697478992,1,24.17142857142857,0.866193289290222,239,1,210,91,55,26
B9,341,132406,0.9997929963774366,1,339.92961876832845,0.9997942589175295,146,281,31347,57845,23340,19447
